nome,idade_anos,prs_aceitas,total_releases,dias_desde_atualizacao,linguagem,razao_issues_fechadas,total_forks,licenca,possui_ci_cd,total_linguagens
redis/redis,17.40,4738,142,0,C,0.6798,24756,Other,true,9
tesseract-ocr/tesseract,12.01,1466,36,0,C++,0.8423,10745,Apache License 2.0,true,9
typicode/json-server,12.72,171,49,146,JavaScript,0.4828,7267,MIT License,true,2
ocornut/imgui,12.07,427,122,9,C++,0.8488,12007,MIT License,true,8
AppFlowy-IO/AppFlowy,5.17,3895,142,5,Dart,0.7883,5874,GNU Affero General Public License v3.0,true,18
openai/openai-cookbook,4.43,1076,0,0,Jupyter Notebook,0.9049,12723,MIT License,true,2
obsproject/obs-studio,12.88,5563,247,1,C,0.8461,9759,GNU General Public License v2.0,true,13
PKUFlyingPig/cs-self-learning,4.82,319,5,3,HTML,0.4557,7983,MIT License,true,1
caddyserver/caddy,11.59,2392,136,0,Go,0.9567,4890,Apache License 2.0,true,3
D4Vinci/Scrapling,1.84,102,52,5,Python,0.9866,7451,"BSD 3-Clause ""New"" or ""Revised"" License",true,2
shareAI-lab/learn-claude-code,1.13,79,0,0,Python,0.8173,12043,MIT License,true,4
python/cpython,9.51,62591,0,0,Python,0.9097,35212,Other,true,23
enaqx/awesome-react,12.03,798,0,27,Não informado,0.9606,7620,Não informado,false,0
apache/superset,11.07,19640,267,0,Python,0.9837,18113,Apache License 2.0,true,13
hiyouga/LlamaFactory,3.22,1018,36,3,Python,0.8762,9072,Apache License 2.0,true,3
abi/screenshot-to-code,2.75,83,0,2,Python,0.7012,9080,MIT License,false,7
josephmisiti/awesome-machine-learning,12.09,928,0,5,Python,1.0000,15612,Other,false,1
Eugeny/tabby,9.65,1580,209,4,TypeScript,0.5730,4207,MIT License,true,11
unionlabs/union,3.25,3128,113,22,Rust,0.9305,3888,Apache License 2.0,true,16
twitter/the-algorithm,3.39,2,0,342,Scala,0.6957,13270,GNU Affero General Public License v3.0,false,12
vuejs/awesome-vue,10.83,3655,0,23,Não informado,0.8248,9449,MIT License,true,0
thedaviddias/Front-End-Checklist,8.83,180,2,2,MDX,0.9806,6664,Não informado,true,5
binhnguyennus/awesome-scalability,8.64,37,0,224,Não informado,0.0000,7097,MIT License,false,0
CompVis/stable-diffusion,4.02,5,0,789,Jupyter Notebook,0.2703,10578,Other,false,3
datawhalechina/hello-agents,0.94,170,3,2,Python,0.8046,9111,Other,false,11
strapi/strapi,10.88,10368,540,2,TypeScript,0.9795,9834,Other,true,6
danielmiessler/SecLists,14.49,709,30,0,PHP,0.9755,25090,MIT License,true,13
fffaraz/awesome-cpp,12.08,883,0,12,Não informado,0.6071,8319,MIT License,true,0
ComposioHQ/awesome-claude-skills,0.83,38,0,6,Python,0.0769,8288,Não informado,true,3
unslothai/unsloth,2.71,3393,54,0,Python,0.7856,6539,Apache License 2.0,true,12
NationalSecurityAgency/ghidra,7.46,583,54,3,Java,0.7473,7926,Apache License 2.0,true,25
microsoft/ai-agents-for-beginners,1.72,490,0,18,Jupyter Notebook,0.9840,23953,MIT License,true,5
Panniantong/Agent-Reach,0.48,172,7,4,Python,0.6847,6146,MIT License,true,3
juliangarnier/anime,10.43,87,37,7,JavaScript,0.8857,4865,MIT License,false,3
pallets/flask,16.36,1633,38,0,Python,1.0000,16933,"BSD 3-Clause ""New"" or ""Revised"" License",true,4
hakimel/reveal.js,15.19,415,51,87,JavaScript,0.6805,16994,MIT License,true,5
chrislgarry/Apollo-11,12.37,0,0,32,Assembly,0.0000,7983,Other,true,1
daytonaio/daytona,2.53,2505,205,23,Não informado,0.7492,5661,Não informado,false,0
moby/moby,13.57,23031,308,0,Go,0.8611,19196,Apache License 2.0,true,11
OpenBB-finance/OpenBB,5.65,4303,56,17,Python,0.9781,7409,Other,true,1
protocolbuffers/protobuf,11.97,9712,218,0,C++,0.9820,16215,Other,true,27
